0s,0.0997,0.1325,0.1342,0.1248,0.0992,0.127,0.1301,0.1205,0.097,0.1243,0.1357,0.103,0.1284,0.1341,0.1439,0.1362,0.1285,0.1682,0.1386,0.1346,0.1271,0.1334,0.1428,0.1258,0.1282,0.1304,0.1306,0.142,0.1271,0.1308,0.1419,0.1322,0.1326,0.1243,0.1328,0.1247,0.128,0.133,0.1326,0.1375,0.1343,0.1309,0.1317,0.1396,0.1324,0.1334,0.1324,0.1326,0.1323,0.1295,0.1276,0.1345,0.1475,0.1493,0.1582,0.1498,0.1355,0.1299,0.1346,0.1327,0.1157,0.1282,0.1277,0.1304,0.1212,0.1278,0.1345,0.1339,0.1173,0.1313,0.134,0.1289,0.1401,0.1372,0.1379,0.1371,0.1436,0.1408,0.1513,0.1398,0.1464,0.141,0.1454,0.1398,0.1047,0.131,0.124,0.1417,0.0994,0.1389,0.1323,0.1326,0.1008,0.1409,0.1316,0.1028
600s,0.0995,0.1343,0.136,0.1263,0.099,0.1292,0.1327,0.1217,0.0967,0.1255,0.1381,0.103,0.1298,0.1396,0.1487,0.1391,0.1309,0.1737,0.1486,0.139,0.1295,0.1361,0.1474,0.1279,0.1305,0.1335,0.1316,0.1441,0.13,0.133,0.136,0.1339,0.1357,0.1264,0.1358,0.1265,0.1298,0.1373,0.1345,0.141,0.1362,0.1334,0.1316,0.1444,0.1344,0.1363,0.1348,0.1347,0.1348,0.1328,0.1305,0.136,0.1485,0.1462,0.1602,0.1504,0.1378,0.1329,0.1385,0.128,0.1191,0.1303,0.1287,0.1325,0.1234,0.1292,0.1387,0.1363,0.1194,0.1332,0.135,0.1304,0.1437,0.1414,0.1405,0.1388,0.1478,0.1437,0.1551,0.1423,0.1497,0.1443,0.1499,0.1414,0.1071,0.1331,0.1249,0.1455,0.0994,0.141,0.1357,0.1346,0.1006,0.1426,0.1342,0.1025
1200s,0.0994,0.1392,0.1392,0.129,0.0991,0.1331,0.1377,0.1241,0.0966,0.1285,0.1425,0.1028,0.132,0.1466,0.1549,0.1444,0.1355,0.1858,0.1605,0.1451,0.1336,0.1413,0.1548,0.1315,0.1342,0.1383,0.1343,0.1497,0.135,0.136,0.1388,0.1372,0.1412,0.1305,0.1408,0.1293,0.1325,0.1415,0.137,0.1464,0.1398,0.1375,0.1325,0.1487,0.1381,0.1404,0.1387,0.1388,0.1381,0.1356,0.1348,0.1391,0.1521,0.1474,0.1643,0.1488,0.1421,0.1377,0.1431,0.1336,0.1234,0.133,0.1319,0.1364,0.1257,0.1315,0.1402,0.1394,0.122,0.1364,0.1378,0.1338,0.1494,0.147,0.1444,0.1429,0.1542,0.1491,0.1613,0.1458,0.1558,0.1507,0.1555,0.1453,0.106,0.1361,0.1267,0.1529,0.1003,0.1448,0.1423,0.1377,0.1003,0.1453,0.1381,0.1023
1800s,0.0993,0.1465,0.1448,0.134,0.099,0.1393,0.1455,0.1277,0.0967,0.1338,0.1495,0.1027,0.1366,0.1566,0.1631,0.1528,0.1419,0.2035,0.1754,0.1544,0.1401,0.1489,0.1659,0.1371,0.1405,0.1451,0.1401,0.1565,0.1424,0.1413,0.1433,0.1426,0.1498,0.1368,0.149,0.1341,0.1364,0.147,0.1423,0.1544,0.1452,0.1444,0.1377,0.1558,0.1443,0.1477,0.1453,0.145,0.1426,0.1409,0.1412,0.1435,0.1561,0.1521,0.1691,0.1566,0.1475,0.1443,0.1501,0.1386,0.1274,0.1378,0.1354,0.1429,0.1294,0.1364,0.1443,0.146,0.126,0.1418,0.1428,0.1394,0.1563,0.1539,0.1505,0.1498,0.1638,0.1576,0.1703,0.1513,0.1653,0.1608,0.1634,0.152,0.1072,0.1398,0.1285,0.1619,0.0998,0.1502,0.1511,0.1419,0.1002,0.1502,0.1443,0.1026
2400s,0.0992,0.1574,0.1534,0.1415,0.099,0.1489,0.157,0.133,0.0967,0.1423,0.1603,0.1025,0.1435,0.1698,0.175,0.1651,0.1513,0.2297,0.1925,0.1669,0.1494,0.1605,0.183,0.1458,0.1493,0.1547,0.1475,0.1666,0.1546,0.1486,0.1529,0.1512,0.1616,0.1464,0.1616,0.1416,0.1424,0.1559,0.15,0.1642,0.1538,0.1546,0.1462,0.1664,0.1529,0.1576,0.1554,0.1545,0.1492,0.1484,0.1503,0.1516,0.163,0.1595,0.1795,0.1656,0.1561,0.1542,0.1614,0.1513,0.1317,0.1447,0.1405,0.1525,0.1345,0.1446,0.1539,0.1553,0.1313,0.1494,0.1505,0.1469,0.1684,0.1628,0.1588,0.1591,0.1774,0.1708,0.1826,0.1581,0.1781,0.174,0.1738,0.1611,0.1071,0.1444,0.1314,0.1751,0.0992,0.1584,0.1616,0.1485,0.1,0.1557,0.1532,0.102
3000s,0.0991,0.1721,0.1667,0.1518,0.0992,0.1625,0.1721,0.1402,0.097,0.155,0.1755,0.1024,0.1534,0.1865,0.1922,0.1805,0.1648,0.2634,0.2126,0.1855,0.1623,0.1764,0.2052,0.1578,0.1614,0.1674,0.1588,0.1791,0.1704,0.1614,0.1648,0.164,0.1781,0.16,0.1787,0.153,0.1517,0.1681,0.1613,0.1788,0.1672,0.1692,0.1597,0.1831,0.1664,0.1718,0.1702,0.1684,0.1585,0.1591,0.1625,0.1621,0.1757,0.1697,0.1885,0.1759,0.1698,0.1676,0.1754,0.1672,0.137,0.154,0.149,0.1656,0.1415,0.1557,0.1649,0.1679,0.1387,0.1606,0.1622,0.1573,0.185,0.1755,0.1693,0.1708,0.1966,0.1883,0.1971,0.1675,0.1969,0.1916,0.188,0.1724,0.1069,0.1506,0.1358,0.1936,0.0991,0.1679,0.1783,0.1593,0.1002,0.1629,0.1654,0.1018
3600s,0.0989,0.1908,0.1845,0.1664,0.0991,0.1795,0.1909,0.1497,0.097,0.1709,0.1951,0.1024,0.1666,0.2062,0.2124,0.1991,0.1825,0.3025,0.2372,0.2092,0.1794,0.1981,0.2311,0.1727,0.1774,0.1837,0.174,0.1953,0.1904,0.1778,0.1823,0.1814,0.1993,0.1778,0.2001,0.1681,0.1641,0.1826,0.176,0.1971,0.1852,0.1868,0.1761,0.2049,0.1846,0.1904,0.1894,0.1869,0.171,0.1726,0.1779,0.175,0.1918,0.1826,0.2013,0.1919,0.1872,0.1835,0.1935,0.1849,0.1439,0.1664,0.1595,0.1806,0.1513,0.1702,0.1801,0.1852,0.1496,0.1746,0.1782,0.1705,0.2057,0.192,0.182,0.1842,0.2204,0.2096,0.2148,0.1795,0.2223,0.2143,0.2053,0.1847,0.1075,0.1577,0.1426,0.2157,0.0988,0.1785,0.1998,0.1751,0.1,0.1718,0.1813,0.1017
4200s,0.0989,0.2126,0.2059,0.1848,0.099,0.2006,0.2127,0.161,0.0971,0.1912,0.218,0.1023,0.1838,0.2303,0.2377,0.2235,0.2053,0.3382,0.2655,0.2374,0.2018,0.2264,0.2592,0.1904,0.1979,0.2037,0.1921,0.2169,0.2148,0.1975,0.2032,0.2033,0.2244,0.1988,0.2245,0.1864,0.1804,0.1994,0.1945,0.2204,0.208,0.2088,0.1981,0.2324,0.2077,0.2129,0.2123,0.2096,0.1861,0.19,0.1968,0.1902,0.2133,0.1993,0.2184,0.2107,0.2094,0.2033,0.2153,0.2035,0.1527,0.1819,0.1729,0.2003,0.1635,0.1876,0.1984,0.2071,0.1627,0.1928,0.1981,0.1875,0.2298,0.2122,0.1971,0.1983,0.249,0.235,0.2359,0.1933,0.2519,0.2398,0.2252,0.1988,0.1077,0.1666,0.152,0.2403,0.0984,0.1913,0.2246,0.1949,0.0999,0.1823,0.2011,0.1017
4800s,0.0989,0.2384,0.2314,0.2079,0.099,0.2253,0.2391,0.1772,0.0971,0.217,0.2452,0.1022,0.2072,0.2571,0.2651,0.2514,0.2323,0.3697,0.2979,0.2703,0.2304,0.2563,0.2927,0.2126,0.2224,0.2278,0.2149,0.2411,0.2433,0.2235,0.2301,0.2292,0.2555,0.2244,0.2525,0.2086,0.201,0.2197,0.2171,0.2469,0.235,0.2358,0.2234,0.2636,0.2363,0.2418,0.2391,0.2372,0.2053,0.21,0.2189,0.2096,0.2398,0.2198,0.2421,0.2364,0.238,0.2293,0.2432,0.227,0.1648,0.2008,0.1898,0.2258,0.1793,0.2093,0.2197,0.235,0.1723,0.2166,0.2221,0.2104,0.2575,0.2373,0.2158,0.2166,0.2815,0.2659,0.2594,0.2113,0.2879,0.2691,0.2483,0.2152,0.107,0.1764,0.1645,0.2688,0.0983,0.2053,0.2551,0.2182,0.1,0.1949,0.2265,0.1015
5400s,0.0989,0.2688,0.2618,0.2354,0.0991,0.2562,0.2706,0.1976,0.0973,0.248,0.2783,0.1022,0.236,0.2889,0.3014,0.2845,0.267,0.3901,0.337,0.3085,0.2636,0.2904,0.3297,0.2394,0.2522,0.256,0.2422,0.2707,0.2775,0.2541,0.2632,0.26,0.2918,0.2536,0.2867,0.2362,0.2256,0.2445,0.2441,0.2768,0.2667,0.2669,0.2546,0.301,0.2691,0.2747,0.2707,0.2694,0.2279,0.2351,0.2463,0.2358,0.2703,0.2458,0.271,0.2662,0.2689,0.2595,0.2758,0.2654,0.1791,0.2231,0.2112,0.2551,0.1944,0.2354,0.2441,0.2677,0.1787,0.2445,0.2508,0.2379,0.2896,0.2659,0.2376,0.2355,0.3166,0.3009,0.2848,0.2312,0.3246,0.3037,0.2742,0.2345,0.1069,0.1872,0.1808,0.3002,0.0981,0.222,0.2881,0.247,0.1,0.2089,0.2565,0.1014
