Plate ,  Well ,  Part ,  Plasmid ,  Resistance ,  Well Status ,  Comments ,  Type ,  Subparts ,  Source ,  Gel Overall ,  Quantity ,  Plamsid ,  Sequencing ,  Seq Comment ,  Short Description , 
5641, 1A, BBa_K1763000, pSB1C3, --, OK," "" """, Coding,1, iGEM15_UCLA, , , , Confirmed(A), ," ""Apis mellifera (honeybee) silk fibroin 3 """, 
5641, 1B, BBa_K1592002, pSB1C3, --, OK," "" """, Coding,1, iGEM15_HUST-China, , , , Single error(A), ," ""Yarrowia lipolytica cell wall protein 3""", 
5641, 1C, BBa_K1763001, pSB1C3, --, OK, , Composite,1, iGEM15_UCLA, , , , Confirmed(A), ," ""Apis mellifera (honeybee) silk fibroin 3 with regulatory elements""", 
5641, 1D, BBa_K1592003, pSB1C3, --, OK, , Coding,1, iGEM15_HUST-China, , , , Confirmed(A), ," ""Mcfp3 with LIP2 prepro""", 
5641, 1E, BBa_K1763004, pSB1C3, --, OK, , DNA,1, iGEM15_UCLA, , , , Confirmed(A), ," ""Major Spidroin Protein 2 (MaSp2) with sticky ends CA""", 
5641, 1F, BBa_K1592004, pSB1C3, --, OK, , Regulatory,1, iGEM15_HUST-China, , , , Confirmed(A), ," ""promoter hp4d""", 
5641, 1G, BBa_K1763009, pSB1C3, --, OK, , DNA,1, iGEM15_UCLA, , , , Confirmed(A), ," ""Major Spidroin Protein 2 (MaSp2) Sequencing Core with AB Sticky Ends""", 
5641, 1H, BBa_K1592007, pSB1C3, --, OK, , Coding,1, iGEM15_HUST-China, , , , Single error(A), ," "" LIP prepro + E. coli ribosomal protein L2 (1-60aa) + YLcwp3 Fusion""", 
5641, 1I, BBa_K1763010, pSB1C3, --, OK, , DNA,1, iGEM15_UCLA, , , , Confirmed(A), ," ""Major Spidroin Protein 1 (MaSp1) with Sticky Ends AB""", 
5641, 1J, BBa_K1592008, pSB1C3, --, OK, , Coding,1, iGEM15_HUST-China, , , , Single error(A), ," ""LIP prepro + E. coli ribosomal protein L2 (61-202aa) + YLcwp3 Fusion""", 
5641, 1K, BBa_K1763011, pSB1C3, --, OK, , DNA,1, iGEM15_UCLA, , , , Confirmed(A), ," ""Major Spidroin Protein 1 (MaSp1) with Sticky Ends BC""", 
5641, 1L, BBa_K1592009, pSB1C3, --, OK, , Coding,1, iGEM15_HUST-China, , , , Single error(A), ," ""LIP2 prepro + E. coli ribosomal protein L2 (203-273aa) + YLcwp3 Fusion""", 
5641, 1M, BBa_K1763012, pSB1C3, --, OK, , DNA,1, iGEM15_UCLA, , , , Confirmed(A), ," ""Major Spidroin Protein 1 (MaSp1) with Sticky Ends CA""", 
5641, 1N, BBa_K1592010, pSB1C3, --, OK, , Coding,1, iGEM15_HUST-China, , , , Single error(A), ," ""LIP2 prepro + E. coli ribosomal protein L2 (1-202aa)+ YLcwp3 Fusion """, 
5641, 1O, BBa_K1692001, pSB1C3, --, OK, , Coding,2, iGEM15_Stanford-Brown, , , , Long part(A), ," ""Ferulic acid decarboxylase (FDC) with T7 promoter and RBS""", 
5641, 1P, BBa_K1592011, pSB1C3, --, OK, , Coding,1, iGEM15_HUST-China, , , , Inconsistent(A), ," ""LIP prepro + E. coli ribosomal protein L2 (61-273aa) + YLcwp3 Fusion""", 
5641, 2A, BBa_K1806004, pSB1C3, --, OK," "" """, Composite,1, iGEM15_AUC_TURKEY, , , , Confirmed(A), ," ""T7+ ibPB RNA Thermometer + pelB + MCS + 6xHis""", 
5641, 2B, BBa_I20270, pSB1C3, --, OK," "" """, Measurement,5, iGEM15_AUC_TURKEY, , , , No sequence info, ," ""Promoter MeasKit (J23151)""", 
5641, 2C, BBa_K1806005, pSB1C3, --, OK, , Composite,1, iGEM15_AUC_TURKEY, , , , Confirmed(A), ," ""T7+ ibPB RNA Thermometer + RFP""", 
5641, 2D, BBa_R0040, pSB1C3, --, OK," "" """, Regulatory,1, iGEM15_AUC_TURKEY, , , , No sequence info, ," ""TetR repressible promoter""", 
5641, 2E, BBa_K1674000, pSB1C3, --, OK, , Protein_Domain,1, iGEM15_Technion_Israel, , , , Confirmed(A), ," ""Secretion signal peptide originated from the B.subtilis extracellular protease AprE""", 
5641, 2F, BBa_J364000, pSB1C3, --, OK," "" """, Measurement,5, iGEM15_Technion_Israel, , , , No sequence info, ," ""Test Device 1 for the iGEM InterLab Study""", 
5641, 2G, BBa_K1674001, pSB1C3, --, OK, , Coding,1, iGEM15_Technion_Israel, , , , Single error(A), ," ""3alpha-hydroxysteroid dehydrogenase""", 
5641, 2H, BBa_J364001, pSB1C3, --, OK," "" """, Measurement,5, iGEM15_Technion_Israel, , , , No sequence info, ," ""Test Device 2 for the iGEM InterLab Study""", 
5641, 2I, BBa_K1674002, pSB1C3, --, OK, , Composite,3, iGEM15_Technion_Israel, , , , Confirmed(A), ," ""pT7 - RBS - 3&#945;HSD """, 
5641, 2J, BBa_J364002, pSB1C3, --, OK," "" """, Measurement,5, iGEM15_Technion_Israel, , , , No sequence info, ," ""Test Device 3 for the iGEM InterLab Study""", 
5641, 2K, BBa_K1674003, pSB1C3, --, OK, , Composite,7, iGEM15_Technion_Israel, , , , Long part(A), ," ""tsPurple Reporter + 3-alpha-HSD (RBS + Coding + Terminator)""", 
5641, 2L, BBa_J364007, pSB1C3, --, OK," "" """, Measurement,5, iGEM15_Technion_Israel, , , , No sequence info, ," ""Test Device 4 for 2018 InterLab Study""", 
5641, 2M, BBa_K1674004, pSB1C3, --, OK, , Coding,1, iGEM15_Technion_Israel, , , , Long part(A), ," ""zwf - Glucose-6-Phosphate-Dehydrogenase from E.coli""", 
5641, 2N, BBa_J364008, pSB1C3, --, OK," "" """, Measurement,5, iGEM15_Technion_Israel, , , , No sequence info, ," ""Test Device 5 for 2018 InterLab Study""", 
5641, 2O, BBa_K1639001, pSB1C3, --, OK, , RNA,1, iGEM15_ATOMS-Turkiye, , , , Confirmed(A), ," ""Trigger RNA""", 
5641, 2P, BBa_J364009, pSB1C3, --, OK," "" """, Measurement,5, iGEM15_ATOMS-Turkiye, , , , No sequence info, ," ""Test Device 6 for 2018 InterLab Study""", 
5641, 3A, BBa_K1692003, pSB1C3, --, OK, , Coding,2, iGEM15_Stanford-Brown, , , , Long part(A), ," ""PAL with T7 promoter""", 
5641, 3B, BBa_K1592012, pSB1C3, --, OK, , Coding,1, iGEM15_HUST-China, , , , Single error(A), ," ""LIP prepro + E. coli ribosomal protein L2 (1-60 203-273aa) + YLcwp3 Fusion""", 
5641, 3C, BBa_K1692004, pSB1C3, --, OK, , Coding,1, iGEM15_Stanford-Brown, , , , Long part(A), ," ""codon optimized PAL with T7 promoter and Flag Tag""", 
5641, 3D, BBa_K1592013, pSB1C3, --, OK, , Coding,1, iGEM15_HUST-China, , , , Single error(A), ," ""LIP prepro + E. coli ribosomal protein L2 (1-60 GS linker 202-273aa) + YLcwp3""", 
5641, 3E, BBa_K1692005, pSB1C3, --, OK, , Coding,1, iGEM15_Stanford-Brown, , , , Confirmed(A), ," ""UbiX""", 
5641, 3F, BBa_K1592014, pSB1C3, --, OK, , Coding,1, iGEM15_HUST-China, , , , Single error(A), ," ""LIP prepro + E. coli ribosomal protein L2 (1-273aa) + YLcwp3""", 
5641, 3G, BBa_K1692006, pSB1C3, --, OK, , Coding,2, iGEM15_Stanford-Brown, , , , Confirmed(A), ," ""UbiX with T7 Promoter""", 
5641, 3H, BBa_K1592017, pSB1C3, --, OK, , Coding,1, iGEM15_HUST-China, , , , Confirmed(A), ," ""Mcfp3 with XPR2 pre """, 
5641, 3I, BBa_K1699002, pSB1C3, --, OK, , Coding,1, iGEM15_BGU_ISRAEL, , , , Confirmed(A), ," ""gRNA for SaCas9 targeting human ubiquitin B gene""", 
5641, 3J, BBa_K1592020, pSB1C3, --, OK, , Regulatory,1, iGEM15_HUST-China, , , , Confirmed(A), ," ""Ptrp mutant1""", 
5641, 3K, BBa_K1699003, pSB1C3, --, OK, , Coding,1, iGEM15_BGU_ISRAEL, , , , Confirmed(A), ," ""gRNA for dCas9-VP64 targeting synthetic activation promoter pMLPm""", 
5641, 3L, BBa_K1682004, pSB1C3, --, OK, , Regulatory,1, iGEM15_HKUST-Rice, , , , Confirmed(A), ," ""<i>P<sub>kdpF</sub>[-15  T>G]</i>""", 
5641, 3M, BBa_K1699004, pSB1C3, --, OK, , Coding,1, iGEM15_BGU_ISRAEL, , , , Confirmed(A), ," ""gRNA for SaCas9 targeting human ubiquitin B gene under U6 promoter""", 
5641, 3N, BBa_K1680009, pSB1C3, --, OK, , Coding,1, iGEM15_Tuebingen, , , , Confirmed(A), ," ""NanoLuc Luciferase""", 
5641, 3O, BBa_K1699005, pSB1C3, --, OK, , Coding,1, iGEM15_BGU_ISRAEL, , , , Confirmed(A), ," ""gRNA for dCas9-VP64 targeting synthetic activation promoter pMLPm under U6 promoter""", 
5641, 3P, BBa_K1690003, pSB1C3, --, OK, , Coding,1, iGEM15_Czech_Republic, , , , Single error(A), ," ""Mating pheromone (L. elongisporus)""", 
