Plate ,  Well ,  Part ,  Plasmid ,  Resistance ,  Well Status ,  Comments ,  Type ,  Subparts ,  Source ,  Gel Overall ,  Quantity ,  Plamsid ,  Sequencing ,  Seq Comment ,  Short Description , 
5637, 1A, BBa_S03156, pSB1C3, --, OK, , Intermediate, 2, , , , , Confirmed(A), , "B0034.C0079", 
5637, 1B, BBa_K118003, pSB1C3, --, OK, , Coding, 1, , , , , Long part(A), , "crtI coding sequence encoding phytoene dehydrogenase", 
5637, 1C, BBa_E0036, pSB1C3, --, OK, , Reporter, 1, , , , , Confirmed(A), , "enhanced yellow fluorescent protein derived from A. victoria GFP", 
5637, 1D, BBa_K118017, pSB1C3, --, OK, , Translational_Unit, 2, , , , , Confirmed(A), , "rbs+glgC (ADP-glucose pyrophosphorylase)", 
5637, 1E, BBa_E0024, pSB1C3, --, OK, , Reporter, 1, , , , , Confirmed(A), , " enhanced cyan fluorescent protein derived from A. victoria GFP", 
5637, 1F, BBa_K118018, pSB1C3, --, OK, , Translational_Unit, 2, , , , , Inconsistent(A), , "rbs+glgC16 (glgC with G336D substitution)", 
5637, 1G, BBa_E0026, pSB1C3, --, OK, , Reporter, 1, , , , , Single error(A), , "enhanced cyan fluorescent protein derived from A. victoria GFP", 
5637, 1H, BBa_P0412, pSB1C3, --, OK, , Generator, 4, , , , , Confirmed(A), , "PoPS -> LacI   [S0150]", 
5637, 1I, BBa_E0034, pSB1C3, --, OK, , Reporter, 1, , , , , Confirmed(A), , "enhanced yellow fluorescent protein derived from A. victoria GFP", 
5637, 1J, BBa_C0056, pSB1C3, --, OK, , Coding, 1, , , , , Confirmed(A), , "cI repressor from phage 434 (no LVA)", 
5637, 1K, BBa_C0160, pSB1C3, --, OK, , Coding, 1, , , , , Confirmed(A), , "autoinducer inactivation enzyme aiiA (no LVA)", 
5637, 1L, BBa_I1466, pSB1C3, --, OK, , Signalling, 4, , , , , Confirmed(A), , "RhlR protein generator (LVA-)", 
5637, 1M, BBa_E5501, pSB1C3, --, OK, , Translational_Unit, 2, , , , , Confirmed(A), , "B0032.E0040", 
5637, 1N, BBa_I732820, pSB1C3, --, OK, , Intermediate, 4, , , , , Confirmed(A), , "LacI (RBS+  TERM+)", 
5637, 1O, BBa_E5503, pSB1C3, --, OK, , Composite, 3, , , , , Inconsistent(A), , "R0040.B0030.E0040", 
5637, 1P, BBa_I732094, pSB1C3, --, OK, , Reporter, 7, , , , , Confirmed(A), , "Promoter Activity Reporter (LacZ-alpha and GFP-AAV)", 
5637, 2A, BBa_I716155, pSB1C3, --, OK, , Coding, 1, , , , , Confirmed(A), , "hemD", 
5637, 2B, BBa_S0105, pSB1C3, --, OK, , Intermediate, 2, , , , , Inconsistent(A), , "B0034.C0053", 
5637, 2C, BBa_I718017, pSB1C3, --, OK, , DNA, 1, , , , , Confirmed(A), , "lox71", 
5637, 2D, BBa_I13401, pSB1C3, --, OK, , Reporter, 3, , , , , Confirmed(A), , "GFP reporter for RHS of library test constructs", 
5637, 2E, BBa_I742101, pSB1C3, --, OK, , DNA, 1, , , , , Confirmed(A), , "dif site with forward orientation", 
5637, 2F, BBa_I732020, pSB1C3, --, OK, , Generator, 4, , , , , Confirmed(A), , "lacZ alpha (fragment RBS+ TERM+)", 
5637, 2G, BBa_I742102, pSB1C3, --, OK, , DNA, 1, , , , , Confirmed(A), , "dif site with reverse orientation", 
5637, 2H, BBa_C2001, pSB1C3, --, OK, , Coding, 1, , , , , Confirmed(A), , "Zif23-GCN4 engineered repressor (+LVA  C2000 codon-optimized for E.coli)", 
5637, 2I, BBa_I742158, pSB1C3, --, OK, , Translational_Unit, 2, , , , , Confirmed(A), , "crtZ (beta-carotene hydroxylase) with native rbs", 
5637, 2J, BBa_Q04530, pSB1C3, --, OK, , Inverter, 5, , , , , Confirmed(A), , "QPI (B0034.C0053.B0015.R0053)", 
5637, 2K, BBa_I741018, pSB1C3, --, OK, , Regulatory, 1, , , , , Confirmed(A), , "Right facing promoter (for xylF) controlled by xylR and CRP-cAMP", 
5637, 2L, BBa_I14018, pSB1C3, --, OK, , Regulatory, 1, , , , , Inconsistent(A), , "P(Bla)", 
5637, 2M, BBa_I741005, pSB1C3, --, OK, , Coding, 1, , , , , Confirmed(A), , "XylR Transcriptional Regulator Right Facing", 
5637, 2N, BBa_I6116, pSB1C3, --, OK, , Measurement, 4, , , , , Inconsistent(A), , "R0077.E0030.B0015", 
5637, 2O, BBa_C2006, pSB1C3, --, OK, , Coding, 1, , , , , Confirmed(A), , "MalE.FactorXa.Zif268-GCN4", 
5637, 2P, BBa_S03724, pSB1C3, --, OK, , Intermediate, 7, , , , , Confirmed(A), , "B0015:S03708", 
5637, 3A, BBa_E5504, pSB1C3, --, OK, , Composite, 3, , , , , Confirmed(A), , "R0040.B0032.E0040", 
5637, 3B, BBa_I732006, pSB1C3, --, OK, , Coding, 1, , , , , Confirmed(A), , "lacZ alpha fragment", 
5637, 3C, BBa_S01022, pSB1C3, --, OK, , Intermediate, 2, , , , , Confirmed(A), , "B0034.E0020", 
5637, 3D, BBa_I732085, pSB1C3, --, OK, , Generator, 3, , , , , Confirmed(A), , "Tet repressor generator (version1  TERM+)", 
5637, 3E, BBa_R0084, pSB1C3, --, OK, , Regulatory, 1, , , , , Confirmed(A), , "Promoter (OmpR  positive)", 
5637, 3F, BBa_B0015, pSB1C3, --, OK, , Terminator, 2, , , , , Confirmed(A), , "double terminator (B0010-B0012)", 
5637, 3G, BBa_R0078, pSB1C3, --, OK, , Regulatory, 1, , , , , Confirmed(A), , "Promoter (cinR and HSL regulated)", 
5637, 3H, BBa_J52028, pSB1C3, --, OK, , Reporter, 1, , , , , Partially confirmed(A), , "green fluorescent protein derived from A. victoria GFP (SwissProt: P42212) with PEST191 tag", 
